Se alguém lhe apresentar mais de um motivo pelo qual deseja o emprego, não o contrate.	Um motivo robusto tem apenas 1 item. Acima disso indica que os motivos não são tão verdadeiros.	A cama de Procusto	Taleb, Nassim Nicholas
Você pode não saber para onde está indo conscientemente, mas sabe isso fazendo.	Conexão com citação em Antifrágil, no qual diz que o planejamento de baixo para cima é natural, e apesar de parecer desorganizado por fora, há um motivo racional por trás. Mesma coisa com suas metas ou objetivos, ao simplesmente FAZER, sua trajetória vai sendo ajustada automaticamente, mesmo de modo imperceptível.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Até mesmo a economia é baseada na noção de “preferências reveladas”. O que as pessoas “pensam” não é relevante — queremos evitar entrar na disciplina piegas, molenga, redundante e tautológica que é a psicologia. As “explicações” das pessoas para o que elas fazem são apenas palavras, histórias que contam a si mesmas, e não tema de uma ciência genuína. O que elas fazem, por outro lado, é tangível e mensurável, e é isso que devemos enfocar. Esse axioma, talvez até mesmo princípio, é muito poderoso, mas não é levado muito a sério por pesquisadores. Quem melhor compreende o conceito de revelação de preferências é uma noiva: um diamante, particularmente quando é oneroso para o comprador, é um compromisso muito mais convincente (e muito menos reversível) do que uma promessa verbal.	Economia = preferências reveladasAções acima de palavras. Um anel de noivado caro é uma promessa muito mais robusta que um compromisso verbal.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Tudo que é projetado por pessoas que não arriscam a própria pele tende a ficar cada dia mais complicado (antes de seu colapso final).	A prática real encurta os caminhos para um resultado.    Exemplo de arquitetos fazendo projeto executivo.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Voltemos ao pathemata mathemata (“norteie seu aprendizado por meio da dor”) e examinemos seu inverso: aprender por meio de fortes emoções e prazer. As pessoas têm dois cérebros: um quando arriscam a própria pele, outro quando não o fazem. Arriscar a própria pele pode tornar tarefas enfadonhas menos enfadonhas. Quando você arrisca a própria pele, tarefas entediantes como verificar a segurança de uma aeronave porque você pode ser obrigado a ser um dos passageiros deixa de ser entediante. Se você é investidor em uma empresa, fazer coisas ultramegachatas, como ler as notas de rodapé de um demonstrativo financeiro (onde está a informação de verdade), torna-se uma coisa, bem, quase não tão chata.	Arriscar a própria pele é o maior motivador para fazer tarefas chatas. Pense no checklist de segurança do piloto. O melhor jeito de aprender é pela dor.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Uma confissão: quando não arrisco minha própria pele, geralmente sou burro. O meu conhecimento de questões técnicas, como risco e probabilidade, não veio inicialmente de livros. Não veio de filosofia e de interesse científico. Nem sequer veio da curiosidade. Veio das fortes emoções e do jorro hormonal que uma pessoa sente quando se arrisca no mercado financeiro. Nunca pensei que a matemática fosse algo interessante até que, quando estava na Wharton, um amigo me contou sobre as opções financeiras que descrevi anteriormente (e sua generalização, derivativos complexos). Decidi de imediato construir uma carreira em cima disso. Era uma combinação de negociação financeira e complicadas probabilidades.	Conhecimento de verdade só vem com a exposição da sua própria pele no assunto, por meio da dor, das fortes emoções.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Mas se você for capaz de reunir força física suficiente para erguer um carro e salvar uma criança, acima das suas capacidades atuais, o vigor adquirido perdurará depois que as coisas se acalmarem. Então, ao contrário do viciado que perde sua desenvoltura, o que você aprende com a intensidade e o foco que demonstrou quando sob a influência do risco permanece com você. Pode até perder a astúcia, mas ninguém pode tirar o que você aprendeu. Essa é a principal razão pela qual agora estou combatendo o sistema educacional convencional, feito por babacas para babacas. Muitas crianças aprenderiam a amar a matemática se tivessem alguma dose de investimento na ciência dos números e, o mais importante, desenvolveriam um instinto para detectar o mau uso da matemática.	Tudo que é executado em conjunto com um jorro emocional teu cérebro aprende muito mais rápido que de modo teórico. Planejamento de obra na disciplina VS Planejamento de obra quando você está lá e tem que organizar a bagunça.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Por algum misterioso mecanismo mental, as pessoas não conseguem perceber que o mais importante que aprendemos com um professor é como ser um professor — e o mais importante que aprendemos, digamos, com um coach ou um palestrante motivacional é como se tornar um coach ou um palestrante motivacional. Então lembre-se de que os heróis da história não eram classicistas nem ratos de biblioteca, gente que vive perigosamente apenas dentro de seus textos. Eles eram pessoas de ação, dotadas do espírito de quem assume riscos. Para entrar na psique dessas figuras, você precisará de alguém que não seja um professor ensinando estoicismo.	Os heróis da história tomaram riscos e deram história a ser contada pelos historiadores, não ficaram em seus quartos protegidos do mundo.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Assim, pode ser que as pessoas queiram fazer coisas. Simplesmente porque sentem que é parte de sua identidade. Um sapateiro no condado de Westchester quer ser um sapateiro, usufruir dos frutos de seu trabalho e do orgulho de ver suas mercadorias nas lojas, mesmo que sua assim chamada condição “econômica” possa se beneficiar caso ele mude para outra profissão e deixe uma fábrica chinesa fabricar seus sapatos. Mesmo que um novo sistema nesses moldes lhe permita comprar aparelhos de TV de tela plana, mais camisas de algodão e bicicletas mais baratas, falta algo. É cruel ludibriar as pessoas a sair de sua profissão. Elas querem se dedicar de corpo e alma.	A dedicação a um oficio faz parte do sentido da vida. Fazer-se preencher seu círculo de atuação	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Rav Safra, rabino e comerciante do século III, recusou vender por um preço maior do que o inicialmente oferecido por um comprador enquanto ele orava, pois já havia decidido mentalmente aceitar a primeira oferta. A ética judaica, segundo esse exemplo e autores como Rashi, preza não só pela transparência nas ações, mas também nas intenções. No mercado financeiro, o autor relembra situações semelhantes, em que pequenos lucros obtidos de forma opaca geravam desconforto moral. Ele conclui que, mesmo que não seja eticamente obrigatório, a transparência total — inclusive de intenções — é a prática mais honesta e sustentável.	Em uma transação, não deve haver transparência somente sobre a mercadoria, mas também sobre a intenção do vendedor. Não é éticamente correto o vendedor vender um produto por um valor acima do que imaginava.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Mente subconsciente: tem acesso à mesma informação que a mente consciente, mas não raciocina como ela. Ela toma tudo literalmente. Não faz julgamentos de valor. Não filtra e não esquece.	Ao fazer uma piada, você (consciente) pode entender de um jeito, mas o subconsciente vai levar ao pé da letra.	Quem pensa enriquece	Hill, Napoleon
Porém, isso não é válido apenas para impulsos de pensamento que foram misturados com fé, mas é válido para qualquer emoção. Inclusive emoções negativas. O que isso significa é que a mente subconsciente vai traduzir em seu equivalente físico um impulso de pensamento de natureza negativa ou destrutiva tão prontamente como quando age a partir de impulsos de pensamento de natureza positiva ou construtiva.	Molde seu subconsciente todo dia de manhã por meio da meditação e respiração controlada.	Quem pensa enriquece	Hill, Napoleon
Quando você tem fé em sua capacidade, pode dar instruções à mente subconsciente, que as aceitará e agirá a partir delas imediatamente.		Quem pensa enriquece	Hill, Napoleon
Fé é o “elixir eterno” que dá vida, poder e ação ao impulso do pensamento.	A fé é o combustível que promove ação dos desígnios de Deus	Quem pensa enriquece	Hill, Napoleon
A natureza moldou o ser humano de forma que, por intermédio dos cinco sentidos, possamos ter controle sobre o material que chega à nossa mente subconsciente. Porém, isso não significa que sempre exercemos esse controle. Na grande maioria dos casos, não o exercitamos, o que explica por que tanta gente passa a vida na pobreza.	Você é o porteiro da sua mente, deve proteger seu bem mais valioso.	Quem pensa enriquece	Hill, Napoleon
Conhecimento só é poder potencial. Só se torna poder quando e se organizado em planos definidos de ação e direcionado para um fim definido.	Reprograme seu cérebro depois monte o plano de ação inicial	Quem pensa enriquece	Hill, Napoleon
As emoções de fé, amor e sexo são as mais poderosas de todas as maiores emoções positivas. Quando as três se fundem, têm o efeito de “colorir” o pensamento de tal maneira que ele alcança instantaneamente a mente subconsciente. Lá, ele é modificado para uma forma que induz uma resposta da inteligência infinita.	A maior força exercida pelo ser humano vem na junção dos sentimentos de fé, amor e sexo	Quem pensa enriquece	Hill, Napoleon
Sua capacidade de usar o princípio de autossugestão vai depender em grande parte da sua capacidade de se concentrar em um determinado desejo até esse desejo se tornar uma obsessão ardente.	Comprarei uma casa de R$600k em Chapada dos Guimarães - MT até o fim do ano. Serei empresário até o final do ano.	Quem pensa enriquece	Hill, Napoleon
Para eles, os livros de Goleman oferecem evidência convincente de que, embora eles talvez não tenham educação convencional, suas capacidades naturais e habilidades interpessoais podem ser muito mais importantes para a aquisição do sucesso.	As habilidades interpessoais e inteligência emocional são pilares do empreendedorismo.	Quem pensa enriquece	Hill, Napoleon
No capítulo sobre fé, ele fez a primeira menção à inteligência infinita como a origem de palpites, intuição e flashes de inspiração. No capítulo sobre autossugestão, ele propôs que a mente subconsciente é a conexão com a inteligência infinita. Neste capítulo, Hill elabora que a imaginação criativa é o receptor pelo qual os flashes de insight chegam até nós da inteligência infinita.	Inteligência infinita é Deus, onde estão todas as informações e ideias disponíveis no universo, prontas para serem captadas. O seu subconsciente se conecta com Deus por meio da imaginação criativa, que é um estado cerebral de alta receptividade (divagação da mente de O Foco, Daniel Goleman).   Permita que seu subconsciente adquira essas informações e prosperará.	Quem pensa enriquece	Hill, Napoleon
